case,amplitude_mode,phase_half_range_rad,seed,theoretical_coherent_component,amplitude_mean,amplitude_std,amplitude_min,amplitude_max,phase_mean_resultant_length
case1,fixed,3.141592653589793,101,3.898171832519375e-15,8.86990662226917,4.642294819069654,0.006344403345558465,31.848427945307716,0.003838516470445494
case1,random,3.141592653589793,102,1.9490859162596876e-15,5.1110913189398,2.658929482670988,0.022968784194220965,19.325701907379305,0.003479763965502429
case2,fixed,0.6283185307179586,201,93.5489283788639,93.6119213241585,0.5748489612486932,91.15223109695681,95.87325390173892,0.9993091105221181
case2,random,0.6283185307179586,202,46.77446418943195,46.80336429638039,2.726867981463286,34.1255722146055,58.21416543243881,0.9990857556703792
case3,fixed,1.2566370614359172,301,75.68267286406571,75.94103313604596,2.105763651009969,66.58742954631998,84.35322062284854,0.9966576627945795
case3,random,1.2566370614359172,302,37.841336432032854,38.01964591624418,2.5122902900599073,28.070817936241774,48.69561593788317,0.9955818662712361
